hex_id,edge_id
8a1f8d8a4927fff,-18813598#7
8a1f8d8a4927fff,-28111977#7
8a1f8d8a4927fff,18813598#7
8a1f8d8a4927fff,28111977#6
8a1f8d8a4927fff,28111977#7
8a1f8d8a492ffff,-18813598#7
8a1f8d8a492ffff,-18813598#8
8a1f8d8a492ffff,-25190140#1
8a1f8d8a492ffff,-25190140#2
8a1f8d8a492ffff,-28111977#8
8a1f8d8a492ffff,18813598#7
8a1f8d8a492ffff,18813598#8
8a1f8d8a492ffff,25190140#1
8a1f8d8a492ffff,25190140#2
8a1f8d8a492ffff,28111977#8
8a1f8d8a4937fff,-18813598#6
8a1f8d8a4937fff,-18813598#7
8a1f8d8a4937fff,-25136986
8a1f8d8a4937fff,18813598#2
8a1f8d8a4937fff,18813598#7
8a1f8d8a4937fff,25136986
8a1f8d8a4947fff,-25149001#4
8a1f8d8a4947fff,-25149001#5
8a1f8d8a4947fff,-653473568#1
8a1f8d8a4947fff,-653473569#0
8a1f8d8a4947fff,-653473569#1
8a1f8d8a4947fff,25149001#4
8a1f8d8a4947fff,25149001#5
8a1f8d8a4947fff,653473568#1
8a1f8d8a4947fff,653473569#0
8a1f8d8a4947fff,653473569#1
8a1f8d8a494ffff,-25149001#4
8a1f8d8a494ffff,25149001#4
8a1f8d8a4957fff,-25190140#1
8a1f8d8a4957fff,25190140#1
8a1f8d8a4967fff,-25187895#0
8a1f8d8a4967fff,-25187895#1
8a1f8d8a4967fff,-25187896
8a1f8d8a4967fff,-653473569#1
8a1f8d8a4967fff,25187895#0
8a1f8d8a4967fff,25187895#1
8a1f8d8a4967fff,25187896
8a1f8d8a496ffff,-22716069#2
8a1f8d8a496ffff,-653473569#1
8a1f8d8a496ffff,-653473569#2
8a1f8d8a496ffff,22716069#2
8a1f8d8a496ffff,653473569#1
8a1f8d8a496ffff,653473569#2
8a1f8d8a4977fff,-18813598#8
8a1f8d8a4977fff,-25187895#0
8a1f8d8a4977fff,-25190140#1
8a1f8d8a4977fff,-28111977#10
8a1f8d8a4977fff,-28111977#9
8a1f8d8a4977fff,-653473568#0
8a1f8d8a4977fff,-653473568#1
8a1f8d8a4977fff,18813598#8
8a1f8d8a4977fff,25187895#0
8a1f8d8a4977fff,25190140#1
8a1f8d8a4977fff,28111977#10
8a1f8d8a4977fff,28111977#9
8a1f8d8a4977fff,653473568#0
8a1f8d8a4977fff,653473568#1
8a1f8d8a4997fff,-30482615#4
8a1f8d8a4997fff,30482615#1
8a1f8d8a49b7fff,-30482615#4
8a1f8d8a49b7fff,30482615#1
8a1f8d8a4b07fff,124812856#0
8a1f8d8a4b07fff,201956820
8a1f8d8a4b27fff,124812856#0
8a1f8d8a4b27fff,124812856#1
8a1f8d8a4b27fff,201956810
8a1f8d8a4b27fff,201956819#0
8a1f8d8a4b27fff,201956820
8a1f8d8a4b27fff,201956821#0
8a1f8d8a4b27fff,201956821#1.68
8a1f8d8a4b37fff,-173169611#0
8a1f8d8a4b37fff,201956810
8a1f8d8a4b37fff,201956820
8a1f8d8a4d6ffff,-30482615#4
8a1f8d8a4d6ffff,30482615#1
8a1f8d9884cffff,-315358258
8a1f8d9884cffff,399835085#1
8a1f8d988647fff,315358244
8a1f8d98864ffff,-129379921#0
8a1f8d98864ffff,-129379921#1
8a1f8d98864ffff,-164078530
8a1f8d98864ffff,-201950263#10
8a1f8d98864ffff,-315358244
8a1f8d98864ffff,-315358250#0
8a1f8d98864ffff,-315358250#1
8a1f8d98864ffff,-379897806
8a1f8d98864ffff,129379921#0
8a1f8d98864ffff,129379921#1
8a1f8d98864ffff,129379967#0
8a1f8d98864ffff,129379968
8a1f8d98864ffff,137685155#0
8a1f8d98864ffff,164078530
8a1f8d98864ffff,201950263#7
8a1f8d98864ffff,315358244
8a1f8d98864ffff,315358250#0
8a1f8d98864ffff,315358250#1
8a1f8d98864ffff,379897806
8a1f8d98864ffff,379897807
8a1f8d988657fff,-201950263#10
8a1f8d988657fff,201950263#7
8a1f8d98865ffff,-201950263#10
8a1f8d98865ffff,201950263#7
8a1f8d98865ffff,40888443
8a1f8d98866ffff,-315358244
8a1f8d98866ffff,315358244
8a1f8d988687fff,-201950259#6
8a1f8d988687fff,-201950263#6
8a1f8d988687fff,-25117391#2
8a1f8d988687fff,201950263#0
8a1f8d988687fff,25117391#2
8a1f8d98868ffff,-201950259#6
8a1f8d98868ffff,-201950263#6
8a1f8d98868ffff,201950259#4
8a1f8d98868ffff,201950263#0
8a1f8d988697fff,-201089420#1
8a1f8d988697fff,-25117391#1
8a1f8d988697fff,-25117391#2
8a1f8d988697fff,201089420#0
8a1f8d988697fff,25117391#0
8a1f8d988697fff,25117391#2
8a1f8d988697fff,315358257#0
8a1f8d9886b7fff,-315358254#1
8a1f8d9886b7fff,315358254#0
8a1f8d9886c7fff,-26677542#0
8a1f8d9886c7fff,26677542#0
8a1f8d9886cffff,-201950250#0
8a1f8d9886cffff,-26677214#5
8a1f8d9886cffff,-26677417#0
8a1f8d9886cffff,-26677417#1
8a1f8d9886cffff,-26677541
8a1f8d9886cffff,-26677542#0
8a1f8d9886cffff,-26677542#1
8a1f8d9886cffff,-36962701#0
8a1f8d9886cffff,26677214#5
8a1f8d9886cffff,26677417#0
8a1f8d9886cffff,26677417#1
8a1f8d9886cffff,26677541
8a1f8d9886cffff,26677542#0
8a1f8d9886cffff,26677542#1
8a1f8d9886cffff,36962701#0
8a1f8d9886d7fff,-41203918#1
8a1f8d9886d7fff,41203918#0
8a1f8d9886dffff,-26677214#3
8a1f8d9886dffff,-26677214#4
8a1f8d9886dffff,-26678225
8a1f8d9886dffff,-36962701#0
8a1f8d9886dffff,-36962701#1
8a1f8d9886dffff,-54169231#0
8a1f8d9886dffff,26677214#3
8a1f8d9886dffff,26677214#4
8a1f8d9886dffff,26678225
8a1f8d9886dffff,36962701#0
8a1f8d9886dffff,36962701#1
8a1f8d9886dffff,54169231#0
8a1f8d9886e7fff,-201950263#10
8a1f8d9886e7fff,-201950263#6
8a1f8d9886e7fff,-26677542#0
8a1f8d9886e7fff,201950263#0
8a1f8d9886e7fff,201950263#7
8a1f8d9886e7fff,26677542#0
8a1f8d9886effff,-26677416#0
8a1f8d9886effff,-26677416#1
8a1f8d9886effff,26677416#0
8a1f8d9886effff,26677416#1
8a1f8d9886f7fff,-201950263#6
8a1f8d9886f7fff,201950263#0
8a1f8d98a00ffff,-128361102#1
8a1f8d98a00ffff,128361102#0
8a1f8d98a02ffff,128361109#1
8a1f8d98a02ffff,201238729#3
8a1f8d98a057fff,-128361102#1
8a1f8d98a057fff,128361102#0
8a1f8d98a067fff,128361109#1
8a1f8d98a067fff,201238729#3
8a1f8d98a06ffff,128361109#1
8a1f8d98a087fff,-393420106#1
8a1f8d98a087fff,201201935#0
8a1f8d98a08ffff,-393420106#1
8a1f8d98a08ffff,201201935#0
