network,edge_id,h3_cell,h3_resolution,edge_length_m_projected,edge_length_m_sumo,buffer_m,sample_step_m,ring_k,lane_count,speed_mps,edge_type,edge_function,net_file
provins,-1002402283,881fb0aa9bfffff,8,18.523,18.52,20.0,175.3666233,0,1,5.56,highway.service,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1023728248,881fb0a1edfffff,8,735.41,735.41,20.0,175.3666233,0,1,5.56,highway.track,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000539#0,881fb0a1a1fffff,8,170.565,170.57,20.0,175.3666233,0,1,13.89,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000539#0,881fb0a1adfffff,8,170.565,170.57,20.0,175.3666233,0,1,13.89,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000539#1,881fb0a1adfffff,8,92.698,92.69,20.0,175.3666233,0,1,13.89,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000539#2,881fb0a1adfffff,8,19.373,19.38,20.0,175.3666233,0,1,13.89,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000539#3,881fb0a1adfffff,8,32.707,32.71,20.0,175.3666233,0,1,13.89,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000543,881fb0a1a9fffff,8,222.562,222.56,20.0,175.3666233,0,1,5.56,highway.track,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000543,881fb0a1e7fffff,8,222.562,222.56,20.0,175.3666233,0,1,5.56,highway.track,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000544,881fb0a1e7fffff,8,183.25,183.25,20.0,175.3666233,0,1,5.56,highway.track,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000546,881fb0a1e7fffff,8,55.695,55.69,20.0,175.3666233,0,1,5.56,highway.service,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000548,881fb0a1e5fffff,8,183.543,183.54,20.0,175.3666233,0,1,13.89,highway.unclassified,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000548,881fb0a1e7fffff,8,183.543,183.54,20.0,175.3666233,0,1,13.89,highway.unclassified,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000560,881fb0a1adfffff,8,46.104,46.1,20.0,175.3666233,0,1,5.56,highway.service,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000561,881fb0a1adfffff,8,30.856,30.85,20.0,175.3666233,0,1,5.56,highway.service,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
provins,-1024000562,881fb0a1adfffff,8,31.15,31.15,20.0,175.3666233,0,1,5.56,highway.service,,networks/COeXISTENCE-PROJECT URB main networks/provins/provins.net.xml
