network,edge_id,h3_cell,h3_resolution,edge_length_m_projected,edge_length_m_sumo,buffer_m,sample_step_m,ring_k,lane_count,speed_mps,edge_type,edge_function,net_file
saint_arnoult,-100468675#0,881fb6a74bfffff,8,12.664,12.67,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468675#1,881fb6a74bfffff,8,55.961,55.96,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468675#2,881fb6a743fffff,8,35.319,35.32,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468675#2,881fb6a74bfffff,8,35.319,35.32,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468675#3,881fb6a743fffff,8,179.153,179.16,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468681#0,881fb6a74bfffff,8,98.083,98.08,20.0,175.3666233,0,1,13.89,highway.secondary,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468681#0,881fb6a75dfffff,8,98.083,98.08,20.0,175.3666233,0,1,13.89,highway.secondary,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468681#1,881fb6a75dfffff,8,457.78,457.78,20.0,175.3666233,0,1,13.89,highway.secondary,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468681#2,881fb6a75dfffff,8,36.066,36.06,20.0,175.3666233,0,1,13.89,highway.secondary,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468681#3,881fb6a75dfffff,8,47.78,47.78,20.0,175.3666233,0,1,13.89,highway.secondary,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468681#4,881fb6a755fffff,8,58.675,58.67,20.0,175.3666233,0,1,13.89,highway.secondary,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468681#4,881fb6a75dfffff,8,58.675,58.67,20.0,175.3666233,0,1,13.89,highway.secondary,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468681#5,881fb6a755fffff,8,56.412,56.42,20.0,175.3666233,0,1,13.89,highway.secondary,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468681#6,881fb6a755fffff,8,0.199,0.2,20.0,175.3666233,0,1,13.89,highway.secondary,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468681#7,881fb6a755fffff,8,58.115,58.12,20.0,175.3666233,0,1,13.89,highway.secondary,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100468681#8,881fb6a755fffff,8,67.456,67.45,20.0,175.3666233,0,1,13.89,highway.secondary,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100488715#0,881fb6a747fffff,8,154.74,154.74,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100488715#1,881fb6a747fffff,8,32.044,32.04,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100488715#2,881fb6a747fffff,8,133.342,133.33,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100488715#3,881fb6a743fffff,8,174.89,174.9,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100488715#3,881fb6a747fffff,8,174.89,174.9,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100488715#4,881fb6a743fffff,8,0.201,0.2,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100488715#5,881fb6a743fffff,8,43.556,43.56,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100488715#6,881fb6a743fffff,8,152.13,152.13,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100488715#7,881fb6a743fffff,8,90.092,90.09,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
saint_arnoult,-100525438#0,881fb6a743fffff,8,89.957,89.95,20.0,175.3666233,0,1,8.33,highway.residential,,networks/COeXISTENCE-PROJECT URB main networks/saint_arnoult/saint_arnoult.net.xml
