hex_id,edge_id
8a1f8d8a4947fff,-25149001#4
8a1f8d8a4947fff,-25149001#5
8a1f8d8a4947fff,-653473569#1
8a1f8d8a494ffff,-25149001#4
8a1f8d8a4967fff,-653473569#1
8a1f8d8a496ffff,-22716069#2
8a1f8d8a496ffff,-653473569#1
8a1f8d8a496ffff,-653473569#2
8a1f8d9884cffff,399835085#1
8a1f8d988647fff,315358244
8a1f8d98864ffff,-129379921#0
8a1f8d98864ffff,-129379921#1
8a1f8d98864ffff,-201950263#10
8a1f8d98864ffff,129379921#0
8a1f8d98864ffff,129379921#1
8a1f8d98864ffff,129379968
8a1f8d98864ffff,137685155#0
8a1f8d98864ffff,164078530
8a1f8d98864ffff,315358244
8a1f8d98864ffff,315358250#0
8a1f8d98864ffff,315358250#1
8a1f8d98864ffff,379897806
8a1f8d98864ffff,379897807
8a1f8d988657fff,-201950263#10
8a1f8d98865ffff,-201950263#10
8a1f8d98866ffff,315358244
8a1f8d988687fff,-201950259#6
8a1f8d988687fff,-201950263#6
8a1f8d988687fff,-25117391#2
8a1f8d98868ffff,-201950259#6
8a1f8d98868ffff,-201950263#6
8a1f8d988697fff,-25117391#1
8a1f8d988697fff,-25117391#2
8a1f8d988697fff,315358257#0
8a1f8d9886cffff,-26677541
8a1f8d9886e7fff,-201950263#10
8a1f8d9886e7fff,-201950263#6
8a1f8d9886f7fff,-201950263#6
8a1f8d98a00ffff,-128361102#1
8a1f8d98a02ffff,128361109#1
8a1f8d98a02ffff,201238729#3
8a1f8d98a057fff,-128361102#1
8a1f8d98a067fff,128361109#1
8a1f8d98a067fff,201238729#3
8a1f8d98a06ffff,128361109#1
8a1f8d98a0effff,-128361102#1
8a1f8d98a0effff,-285549250#1
8a1f8d98a15ffff,128361109#1
8a1f8d98a15ffff,201238729#3
8a1f8d98a207fff,24634517#6
8a1f8d98a207fff,24634517#8
8a1f8d98a207fff,24634517#9
8a1f8d98a20ffff,24634517#13
8a1f8d98a20ffff,24634517#9
8a1f8d98a217fff,-201963533#4
8a1f8d98a217fff,-201963533#5
8a1f8d98a217fff,-22716072#3
8a1f8d98a217fff,24634517#1
8a1f8d98a21ffff,-136728347#4
8a1f8d98a22ffff,24634517#9
8a1f8d98a237fff,24634517#1
8a1f8d98a237fff,24634517#4
8a1f8d98a237fff,24634517#6
8a1f8d98a247fff,-23436553#2
8a1f8d98a24ffff,-22690205#1
8a1f8d98a24ffff,-23436553#1
8a1f8d98a25ffff,-23436553#1
8a1f8d98a25ffff,-23436553#2
8a1f8d98a267fff,-23436553#2
8a1f8d98a267fff,204588664#0
8a1f8d98a26ffff,-23436553#2
8a1f8d98a26ffff,204588664#0
8a1f8d98a277fff,24634517#13
8a1f8d98a2a7fff,-22716072#3
8a1f8d98a2affff,-136728347#4
8a1f8d98a2affff,-201963533#5
8a1f8d98a2affff,-22716072#5
8a1f8d98a2affff,-26642362#5
