edge_id,visit_count,first_time,last_time,agent_count,experiment_count
-128361102#1,2,6,34,2,1
-129379920#0,1,83,83,1,1
-129379920#1,1,83,83,1,1
-129379921#0,1,83,83,1,1
-129379921#1,1,83,83,1,1
-129379922,1,83,83,1,1
-136728347#4,3,6,57,3,1
-164051413,2,6,34,2,1
-170018165#0,9,13,82,9,1
-170018165#1,10,13,82,10,1
-170018165#2.164,10,13,82,10,1
-170018165#2.210,10,13,82,10,1
-170018165#3,10,13,82,10,1
-174800513,1,6,6,1,1
-18809672#1,2,6,34,2,1
-201201945#0,1,6,6,1,1
-201201945#0.78,1,6,6,1,1
-201201945#1,1,6,6,1,1
-201238718#0,2,32,82,2,1
-201238718#1,3,6,82,3,1
-201238724,1,6,6,1,1
-201950250#2,1,73,73,1,1
-201950259#3,1,6,6,1,1
-201950259#6,1,6,6,1,1
-201950263#10,2,6,83,2,1
-201950263#6,2,6,83,2,1
-201963533#4,1,57,57,1,1
-201963533#5,1,57,57,1,1
-224892361#1,1,61,61,1,1
-224892361#2,1,61,61,1,1
-224892361#6,2,16,61,2,1
-224892361#8,2,16,61,2,1
-22690205#1,1,6,6,1,1
-22716069#1,2,6,34,2,1
-22716069#2,2,6,34,2,1
-22716072#3,2,6,34,2,1
-22716072#5,2,6,34,2,1
-23436553#1,1,6,6,1,1
-23436553#2,1,6,6,1,1
-24634411,1,73,73,1,1
-24634414#4,1,56,56,1,1
-24634414#5,1,56,56,1,1
-24634415,1,56,56,1,1
-24634417,2,73,78,2,1
-24693977#0,3,32,82,3,1
-24693977#1,3,32,82,3,1
-25117391#1,1,83,83,1,1
-25117391#2,1,83,83,1,1
-25145011#0,1,6,6,1,1
-25145011#2,1,6,6,1,1
-25149001#4,1,6,6,1,1
-25149001#5,1,6,6,1,1
-26642362#5,2,6,34,2,1
-266565295#5,2,32,59,2,1
-26677213#5,1,6,6,1,1
-26677416#3,1,73,73,1,1
-26677416#7,1,73,73,1,1
-26677539,1,73,73,1,1
-26677540#0,1,73,73,1,1
-26677540#1,1,73,73,1,1
-26677541,1,73,73,1,1
-285549250#1,2,6,34,2,1
-306240162#1,10,13,82,10,1
-315358246,1,83,83,1,1
-315358252#1,1,83,83,1,1
-315392062#4,2,32,82,2,1
-32999434#1,3,32,82,3,1
-40888351#0,1,73,73,1,1
-40888351#2,1,73,73,1,1
-40888351#6,1,73,73,1,1
-447569997#0,2,73,83,2,1
-447569998#1,2,73,83,2,1
-612075153#0,3,16,83,3,1
-612075153#1,3,16,83,3,1
-653473569#1,1,6,6,1,1
-653473569#2,3,6,34,3,1
-653473569#4,2,6,34,2,1
-653473569#5,2,6,34,2,1
10425609#0,2,6,34,2,1
10425609#1,2,6,34,2,1
128361109#1,5,61,82,5,1
128361109#3,5,61,82,5,1
128361109#4,5,61,82,5,1
129379918#0,4,12,73,4,1
129379920#0,4,12,81,4,1
129379920#1,4,12,81,4,1
129379921#0,4,12,81,4,1
129379921#1,4,12,81,4,1
129379922,4,12,81,4,1
129379925,3,12,31,3,1
129379968,2,6,83,2,1
136436466,3,12,31,3,1
136436468#1,1,6,6,1,1
137133006#0,10,13,82,10,1
137133006#1,10,13,82,10,1
137685155#0,3,6,31,3,1
160314345#1,1,73,73,1,1
160314345#2,2,73,78,2,1
160314345#3,2,73,78,2,1
164078530,1,81,81,1,1
168702039#1,2,56,59,2,1
168702040#1,2,56,59,2,1
168702040#2,2,56,59,2,1
168702040#3,2,56,59,2,1
168702040#4,2,56,59,2,1
170018165#0,2,61,70,2,1
170018165#1,1,70,70,1,1
170018165#2,1,70,70,1,1
170018165#2.175,1,70,70,1,1
174800513,1,59,59,1,1
176550246,4,32,70,4,1
176550249#0,14,13,82,14,1
176550249#1,14,13,82,14,1
176550249#2,14,13,82,14,1
176550249#3,14,13,82,14,1
176550249#4,14,13,82,14,1
201201950#0,12,13,82,12,1
201201950#1,12,13,82,12,1
201201950#2,12,13,82,12,1
201201950#3,11,13,82,11,1
201201950#4,10,13,82,10,1
201201953#0,3,59,70,3,1
201201953#10,4,32,70,4,1
201201953#12,4,32,70,4,1
201201953#2,3,59,70,3,1
201201953#4,4,32,70,4,1
201238718#0,1,59,59,1,1
201238718#1,1,59,59,1,1
201238719#0,3,32,70,3,1
201238729#1,2,59,62,2,1
201238729#2,2,59,62,2,1
201238729#3,2,59,62,2,1
201238730,14,13,82,14,1
201963537#1,2,6,34,2,1
202092676#0,12,13,82,12,1
204588664#0,1,6,6,1,1
224892339#0,1,16,16,1,1
22716069#0,1,57,57,1,1
23166741#0,3,40,70,3,1
23166741#2,2,62,70,2,1
23166741#5,2,62,70,2,1
233675413#4,1,6,6,1,1
24608844,1,12,12,1,1
24634413#0,1,78,78,1,1
